[2022-02-09 22:46:09,335] INFO [setUpClass testcase_04_addReceiveAddr.py 14] addReceiveAddr接口用例页开始
[2022-02-09 22:46:09,357] INFO [TestCase_Log testcase_log.py 9] 测试用例：addReceiveAddr_para_nomal
[2022-02-09 22:46:09,357] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/receiveaddrAdd.action
[2022-02-09 22:46:09,358] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"fu","username":"fu","phone":"15873566752","addr":"深圳市南山区沙河街道"}
[2022-02-09 22:46:09,358] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"ok"}
[2022-02-09 22:46:09,358] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"fu","address":null,"id":0,"msg":"添加用户地址成功！","phone":"15873566752","result":"ok","username":"fu"}
[2022-02-09 22:46:09,358] INFO [testRegister testcase_04_addReceiveAddr.py 29] 测试结果为Pass
[2022-02-09 22:46:09,481] INFO [TestCase_Log testcase_log.py 9] 测试用例：addReceiveAddr_para_mix
[2022-02-09 22:46:09,481] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/receiveaddrAdd.action
[2022-02-09 22:46:09,481] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"fu","username":"fu","phone":"15873566752","addr":"深圳市南山区沙河街道","id":0}
[2022-02-09 22:46:09,481] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-09 22:46:09,481] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"fu","address":null,"id":0,"msg":"添加用户地址成功！","phone":"15873566752","result":"ok","username":"fu"}
[2022-02-09 22:46:09,482] INFO [testRegister testcase_04_addReceiveAddr.py 33] 测试结果为Fail
[2022-02-09 22:46:09,601] INFO [TestCase_Log testcase_log.py 9] 测试用例：addReceiveAddr_para_type
[2022-02-09 22:46:09,601] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/receiveaddrAdd.action
[2022-02-09 22:46:09,601] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"fu","username":25,"phone":"15873566752","addr":"深圳市南山区沙河街道"}
[2022-02-09 22:46:09,601] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-09 22:46:09,602] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"fu","address":null,"id":0,"msg":"添加用户地址成功！","phone":"15873566752","result":"ok","username":"25"}
[2022-02-09 22:46:09,602] INFO [testRegister testcase_04_addReceiveAddr.py 33] 测试结果为Fail
[2022-02-09 22:46:09,681] INFO [TestCase_Log testcase_log.py 9] 测试用例：addReceiveAddr_para_len
[2022-02-09 22:46:09,682] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/receiveaddrAdd.action
[2022-02-09 22:46:09,682] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"fu","username":"fu","phone":"15873566752158735667521587356675215873566752","addr":"深圳市南山区沙河街道"}
[2022-02-09 22:46:09,682] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-09 22:46:09,682] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"fu","address":null,"id":0,"msg":"添加用户地址成功！","phone":"15873566752158735667521587356675215873566752","result":"ok","username":"fu"}
[2022-02-09 22:46:09,682] INFO [testRegister testcase_04_addReceiveAddr.py 33] 测试结果为Fail
[2022-02-09 22:46:09,779] INFO [TestCase_Log testcase_log.py 9] 测试用例：addReceiveAddr_para_opposite
[2022-02-09 22:46:09,779] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/receiveaddrAdd.action
[2022-02-09 22:46:09,779] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"fu","username":"fu","phone":"15873566752"}
[2022-02-09 22:46:09,779] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-09 22:46:09,780] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"fu","address":null,"id":0,"msg":"添加用户地址成功！","phone":"15873566752","result":"ok","username":"fu"}
[2022-02-09 22:46:09,780] INFO [testRegister testcase_04_addReceiveAddr.py 33] 测试结果为Fail
[2022-02-09 22:46:09,876] INFO [TestCase_Log testcase_log.py 9] 测试用例：addReceiveAddr_bypass_ui
[2022-02-09 22:46:09,877] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/receiveaddrAdd.action
[2022-02-09 22:46:09,877] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"fu"}
[2022-02-09 22:46:09,877] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-09 22:46:09,877] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"fu","address":null,"id":0,"msg":"添加用户地址成功！","phone":"15873566752","result":"ok","username":"fu"}
[2022-02-09 22:46:09,877] INFO [testRegister testcase_04_addReceiveAddr.py 33] 测试结果为Fail
[2022-02-09 22:46:09,971] INFO [TestCase_Log testcase_log.py 9] 测试用例：addReceiveAddr_bypass_auth
[2022-02-09 22:46:09,971] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/receiveaddrAdd.action
[2022-02-09 22:46:09,971] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"dudu","username":"fu","phone":"15873566756","addr":"深圳市南山区沙河街道"}
[2022-02-09 22:46:09,971] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-09 22:46:09,971] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"dudu","address":null,"id":0,"msg":"添加用户地址成功！","phone":"15873566756","result":"ok","username":"fu"}
[2022-02-09 22:46:09,972] INFO [testRegister testcase_04_addReceiveAddr.py 33] 测试结果为Fail
